birdsEUPopulation(Dataset1);;;;;;;;
speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;CRd_list_cat;red_list_cat_prev;taxFamily_en
A132;Recurvirostra avosetta;N;142000;29800;54900;LC;LC;Avocets and stilts
A133;Burhinus oedicnemus;N;298000;55700;85000;LC;LC;Thick-knees
A134;Cursorius cursor;N;2300;1100;1200;NT;NT;Coursers and pratincoles
A135;Glareola pratincola;N;37000;4600;8300;NT;LC;Coursers and pratincoles
A136;Charadrius dubius;N;1230000;72500;105000;LC;LC;Plovers
A137;Charadrius hiaticula;N;384000;27300;40400;LC;LC;Plovers
A138;Charadrius alexandrinus;N;110000;6600;14000;LC;LC;Plovers
A140;Pluvialis apricaria;N;533000;207000;338000;LC;LC;Plovers
A141;Pluvialis squatarola;Y;-1;125000;150000;LC;LC;Plovers
A142;Vanellus vanellus;N;1950000;805000;1140000;VU;VU;Plovers
A143;Calidris canutus;Y;-1;403000;487000;LC;LC;Sandpipers, snipes and phalaropes
A144;Calidris alba;Y;-1;75100;99000;LC;LC;Sandpipers, snipes and phalaropes
A145;Calidris minuta;Y;-1;12800;21300;LC;LC;Sandpipers, snipes and phalaropes
A146;Calidris temminckii;N;83100;6600;9000;NT;LC;Sandpipers, snipes and phalaropes
A147;Calidris ferruginea;Y;-1;160;1600;VU;VU;Sandpipers, snipes and phalaropes
A148;Calidris maritima;Y;-1;14100;17300;NT;NT;Sandpipers, snipes and phalaropes
A149;Calidris alpina;N;146000;30500;50700;LC;LC;Sandpipers, snipes and phalaropes
A152;Lymnocryptes minimus;N;166000;8700;23400;LC;LC;Sandpipers, snipes and phalaropes
A153;Gallinago gallinago;N;1220000;422000;758000;LC;LC;Sandpipers, snipes and phalaropes
A154;Gallinago media;N;47500;2200;3800;VU;VU;Sandpipers, snipes and phalaropes
A155;Scolopax rusticola;N;1420000;706000;1460000;LC;LC;Sandpipers, snipes and phalaropes
A156;Limosa limosa;N;106000;37900;46700;EN;EN;Sandpipers, snipes and phalaropes
A157;Limosa lapponica;N;12300;1300;4500;LC;LC;Sandpipers, snipes and phalaropes
