datasetb;;;
country;speciescode;speciesname;nationally_hunted
GIB;A206-X;Columba livia;No
SI;A206-X;Columba livia;No
LT;A206-X;Columba livia;No
LU;A206-X;Columba livia;No
LV;A206-X;Columba livia;Yes
MT;A206-X;Columba livia;Yes
NL;A206-X;Columba livia;No
PT;A206-X;Columba livia;Yes
GR;A207;Columba oenas;No
FR;A207;Columba oenas;Yes
PT;A207;Columba oenas;Yes
CY;A207;Columba oenas;Yes
ES;A207;Columba oenas;Yes
RO;A207;Columba oenas;Yes
FR;A209;Streptopelia decaocto;Yes
AT;A209;Streptopelia decaocto;Yes
BG;A209;Streptopelia decaocto;Yes
CY;A209;Streptopelia decaocto;Yes
HU;A209;Streptopelia decaocto;Yes
RO;A209;Streptopelia decaocto;Yes
CZ;A209;Streptopelia decaocto;Yes
DE;A209;Streptopelia decaocto;Yes
DK;A209;Streptopelia decaocto;No
SK;A209;Streptopelia decaocto;Yes
GR;A210;Streptopelia turtur;Yes
FR;A210;Streptopelia turtur;Yes
IT;A210;Streptopelia turtur;Yes
MT;A210;Streptopelia turtur;Yes
PT;A210;Streptopelia turtur;Yes
ES;A210;Streptopelia turtur;Yes
RO;A210;Streptopelia turtur;Yes
AT;A210;Streptopelia turtur;Yes
BG;A210;Streptopelia turtur;Yes
CY;A210;Streptopelia turtur;Yes
ES;A210;Streptopelia turtur;Yes
GR;A247;Alauda arvensis;Yes
FR;A247;Alauda arvensis;Yes
IT;A247;Alauda arvensis;Yes
MT;A247;Alauda arvensis;Yes
CY;A247;Alauda arvensis;Yes
RO;A247;Alauda arvensis;Yes
GR;A283;Turdus merula;Yes
FR;A283;Turdus merula;Yes
IT;A283;Turdus merula;Yes
MT;A283;Turdus merula;Yes
PT;A283;Turdus merula;No
SE;A283;Turdus merula;No
PT;A283;Turdus merula;No
PT;A283;Turdus merula;No
CY;A283;Turdus merula;Yes
GR;A284;Turdus pilaris;Yes
FI;A284;Turdus pilaris;Yes
FR;A284;Turdus pilaris;Yes
IT;A284;Turdus pilaris;Yes
MT;A284;Turdus pilaris;Yes
PT;A284;Turdus pilaris;Yes
SE;A284;Turdus pilaris;Yes
AT;A284;Turdus pilaris;No
CY;A284;Turdus pilaris;Yes
EE;A284;Turdus pilaris;Yes
ES;A284;Turdus pilaris;Yes
RO;A284;Turdus pilaris;Yes
GR;A285;Turdus philomelos;Yes
FR;A285;Turdus philomelos;Yes
IT;A285;Turdus philomelos;Yes
MT;A285;Turdus philomelos;Yes
PT;A285;Turdus philomelos;Yes
CY;A285;Turdus philomelos;Yes
ES;A285;Turdus philomelos;Yes
RO;A285;Turdus philomelos;Yes
GR;A286;Turdus iliacus;Yes
FR;A286;Turdus iliacus;Yes
IT;A286;Turdus iliacus;Yes
MT;A286;Turdus iliacus;Yes
PT;A286;Turdus iliacus;Yes
CY;A286;Turdus iliacus;Yes
ES;A286;Turdus iliacus;Yes
RO;A286;Turdus iliacus;Yes
GR;A287;Turdus viscivorus;Yes
FR;A287;Turdus viscivorus;Yes
MT;A287;Turdus viscivorus;Yes
PT;A287;Turdus viscivorus;Yes
CY;A287;Turdus viscivorus;Yes
ES;A287;Turdus viscivorus;Yes
RO;A287;Turdus viscivorus;Yes
FR;A342;Garrulus glandarius;Yes
HR;A342;Garrulus glandarius;Yes
IT;A342;Garrulus glandarius;Yes
LU;A342;Garrulus glandarius;No
NL;A342;Garrulus glandarius;No
PT;A342;Garrulus glandarius;No
UK;A342;Garrulus glandarius;No
HU;A342;Garrulus glandarius;Yes
RO;A342;Garrulus glandarius;Yes
SE;A342;Garrulus glandarius;Yes
SI;A342;Garrulus glandarius;Yes
SK;A342;Garrulus glandarius;Yes
BE;A342;Garrulus glandarius;Yes
DE;A342;Garrulus glandarius;Yes
DK;A342;Garrulus glandarius;No
GR;A343;Pica pica;Yes
FI;A343;Pica pica;Yes
FR;A343;Pica pica;Yes
HR;A343;Pica pica;Yes
IT;A343;Pica pica;Yes
LU;A343;Pica pica;No
ES;A343;Pica pica;Yes
UK;A343;Pica pica;No
HU;A343;Pica pica;Yes
RO;A343;Pica pica;Yes
BE;A343;Pica pica;Yes
BG;A343;Pica pica;Yes
CY;A343;Pica pica;Yes
CZ;A343;Pica pica;Yes
DE;A343;Pica pica;Yes
DK;A343;Pica pica;No
LV;A343;Pica pica;Yes
NL;A343;Pica pica;No
PT;A343;Pica pica;Yes
SE;A343;Pica pica;Yes
SI;A343;Pica pica;Yes
SK;A343;Pica pica;Yes
GR;A347;Corvus monedula;Yes
FI;A347;Corvus monedula;Yes
HR;A347;Corvus monedula;Yes
NL;A347;Corvus monedula;No
SE;A347;Corvus monedula;Yes
BG;A347;Corvus monedula;Yes
CY;A347;Corvus monedula;Yes
ES;A347;Corvus monedula;Yes
UK;A347;Corvus monedula;No
RO;A347;Corvus monedula;Yes
FR;A348;Corvus frugilegus;Yes
