speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;red_list_cat;conclusion_status_label;red_list_cat_prev;conclusion_status_label_prev;taxFamily_en;country;nationally_hunted;Risk_Country
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;France;Yes;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Croatia;Yes;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Croatia;Yes;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Croatia;Yes;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;United Kingdom;No;Alarming
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;United Kingdom;Yes;Alarming
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Hungary;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Hungary;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Romania;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Czech Republic;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Germany;Yes;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Denmark;Yes;Alarming
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Estonia;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Spain;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Slovakia;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Portugal;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Slovenia;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Austria;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Belgium;Yes;Alarming
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Bulgaria;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Cyprus;Yes;Few
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Malta;Yes;Few
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Netherlands;No;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Netherlands;No;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Portugal;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Sweden;Yes;Alarming
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Poland;Yes;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Ireland;Yes;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Italy;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Lithuania;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Luxembourg;Yes;Considerable
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Latvia;Yes;High
A053;Anas platyrhynchos;N;3130000;1850000.0;3020000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Malta;Yes;Few
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Greece;Yes;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Finland;Yes;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;France;Yes;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Croatia;No;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Croatia;No;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Ireland;Yes;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;United Kingdom;Yes;Alarming
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Hungary;No;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Hungary;No;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Romania;Yes;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Czech Republic;No;Considerable
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Germany;Yes;High
A054;Anas acuta;N;205000;4500.0;18800.0;EN;Threatened;VU;Threatened;Ducks, geese and swans;Denmark;Yes;Alarming
